,uid
0,3360
1,5885
2,14689
3,21574
4,39439
5,49031
6,51053
7,56524
8,63941
9,70323
10,84147
11,98107
12,102251
13,112901
14,122669
15,130318
16,136360
17,138439
18,143793
19,147484
20,156340
21,165911
22,173507
23,181195
24,190525
25,217909
26,226484
27,233591
28,235314
29,240860
30,246286
31,250913
32,259478
33,261404
34,271572
35,276896
36,283969
37,287521
38,290884
39,293786
40,297222
41,305512
42,305807
43,309658
44,315418
45,319710
46,328427
47,333920
48,336393
49,342019
50,346112
51,352504
52,360720
53,362493
54,365610
55,376929
56,395681
57,396832
58,397867
59,399368
60,402465
61,404841
62,406781
63,416280
64,427649
65,432937
66,440850
67,446360
68,449450
69,452365
70,459286
71,465802
72,468743
73,474313
74,475914
75,485434
76,491470
77,500000
78,506457
79,513239
80,516523
81,521939
82,526328
83,528064
84,534442
85,537372
86,544683
87,546177
88,555718
89,556677
90,559878
91,563505
92,568210
93,574950
94,578665
95,593559
96,603224
97,607780
98,611754
99,626026
100,629166
101,631313
102,635548
103,638719
104,644416
105,648149
106,653201
107,655365
108,666309
109,671162
110,678195
111,680499
112,689634
113,693288
114,699064
115,706182
116,711844
117,717804
118,725994
119,731844
120,741278
121,750999
122,753932
123,756821
124,759265
125,762324
126,764751
127,772688
128,793029
129,795201
130,801661
131,803443
132,809262
133,812733
134,816755
135,819285
136,823500
137,826997
138,829751
139,832740
140,841798
141,847313
142,863262
143,864420
144,865352
145,872931
146,874691
147,878769
148,882256
149,887058
150,891682
151,892976
152,898156
153,903735
154,906770
155,909974
156,921792
157,924083
158,927329
159,930811
160,934778
161,939347
162,945455
163,956366
164,961265
165,966858
166,971854
167,972655
168,974967
169,979411
170,982538
171,987162
172,989761
173,995372
174,998736
175,1002209
176,1008400
177,1010948
178,1023324
179,1024936
180,1029759
181,1035291
182,1042620
183,1046367
184,1056180
185,1058433
186,1071774
187,1078161
188,1079945
189,1085414
190,1094909
191,1100242
192,1106284
193,1108421
194,1118514
195,1130619
196,1133901
197,1137187
198,1138786
199,1142210
200,1159133
201,1159990
202,1162229
203,1163987
204,1170610
205,1173549
206,1176764
207,1182111
208,1187388
209,1190080
210,1198117
211,1201763
212,1207677
213,1209709
214,1215360
215,1217186
216,1218126
217,1219894
218,1222239
219,1232655
220,1233257
221,1239898
222,1241787
223,1243852
224,1245102
225,1250873
226,1254102
227,1257411
228,1264873
229,1275279
230,1293570
231,1297640
232,1302973
233,1308153
234,1314437
235,1316845
236,1322667
237,1329035
238,1338062
239,1347339
240,1354418
241,1359323
242,1364722
243,1366722
244,1377100
245,1381079
246,1383240
247,1384249
248,1394296
249,1400836
250,1402451
251,1405603
252,1408630
253,1410710
254,1415726
255,1426652
256,1434753
257,1438370
258,1443233
259,1458777
260,1468549
261,1471542
262,1483053
263,1488852
264,1493034
265,1495138
266,1501367
267,1504582
268,1508601
269,1514793
270,1522187
271,1530491
272,1535862
273,1536821
274,1537060
275,1548118
276,1566453
277,1566674
278,1569369
279,1588078
280,1596818
281,1600561
282,1619338
283,1621510
284,1621775
285,1623253
286,1629545
287,1636343
288,1643861
289,1647100
290,1651465
291,1653418
292,1656467
293,1659298
294,1662645
295,1665301
